GameId,MinPlayer,MaxPlayer,AverageTime,YearReleased,RatingScore,mechanics,owned,Theme,DesignerName,"Weight																											"
18626,2,4,60,2015,8.67,"Action Point Allowance System	 Co-operative Play	 Hand Management	 Point to Point Movement	 Set Collection	 Trading	 Variable Player Powers",29472,"Environmental	 Medical","Rob Daviau	 Matt Leacock",2.81
18627,2,4,240,2015,8.73,"Action Point Allowance System	 Auction/Bidding	 Card Drafting	 Hand Management",10007,"Card Game	 Civilization	 Economic",Vlaada Chv�til,4.31
18628,2,2,180,2005,8.36,"Area Control / Area Influence	 Campaign / Battle Card Driven	 Dice Rolling	 Hand Management	 Simultaneous Action Selection",37382,"Modern Warfare	 Political	 Wargame","Ananda Gupta	 Jason Matthews",3.53
18629,2,5,150,2012,8.3,"Route/Network Building	 Variable Phase Order	 Variable Player Powers",27948,"Civilization	 Economic	 Fantasy	 Territory Building","Jens Dr�gem�ller	 Helge Ostertag",3.94
18630,1,4,150,2017,9.09,"Action / Movement Programming	 Campaign / Battle Card Driven	 Co-operative Play	 Grid Movement	 Hand Management	 Modular Board	 Simultaneous Action Selection	 Storytelling	 Variable Player Powers",6057,"Adventure	 Economic	 Exploration	 Fantasy	 Fighting	 Miniatures",Isaac Childres,3.7
18631,2,4,240,2016,8.53,"Area Control / Area Influence	 Area Movement	 Dice Rolling	 Hand Management",14304,"Dice	 Fighting	 Movies / TV / Radio theme	 Science Fiction	 Wargame",Corey Konieczka,3.57
18632,1,5,115,2016,8.32,"Area Control / Area Influence	 Grid Movement	 Variable Player Powers",21702,"Civilization	 Economic	 Fighting	 Miniatures	 Science Fiction	 Territory Building",Jamey Stegmaier,3.32
18633,1,5,120,2016,8.38,"Card Drafting	 Hand Management	 Tile Placement	 Variable Player Powers",11567,"Economic	 Environmental	 Industry / Manufacturing	 Science Fiction	 Territory Building",Jacob Fryxelius,3.24
18634,2,2,30,2015,8.19,"Card Drafting	 Set Collection",33463,"Ancient	 Card Game	 City Building	 Civilization","Antoine Bauza	 Bruno Cathala",2.25
18635,1,7,210,2013,8.18,"Tile Placement	 Worker Placement",21813,"Animals	 Economic	 Fantasy	 Farming",Uwe Rosenberg,3.79
18636,2,4,90,2011,8.11,"Dice Rolling	 Set Collection	 Tile Placement	 Variable Phase Order",35131,"Dice	 Medieval	 Territory Building",Stefan Feld,3.04
18637,2,5,150,2002,8.09,Variable Phase Order,55044,"City Building	 Economic	 Farming",Andreas Seyfarth,3.29
18638,2,4,180,2012,8.39,"Area Control / Area Influence	 Area Movement	 Campaign / Battle Card Driven	 Dice Rolling	 Hand Management",10457,"Adventure	 Dice	 Fantasy	 Miniatures	 Novel-based	 Territory Building","Roberto Di Meglio	 Marco Maggi	 Francesco Nepitello",3.99
18639,1,5,150,2007,8.05,"Card Drafting	 Hand Management	 Variable Player Powers	 Worker Placement",58652,"Animals	 Economic	 Farming",Uwe Rosenberg,3.63
18640,1,4,150,2011,8.14,"Card Drafting	 Co-operative Play	 Deck / Pool Building	 Dice Rolling	 Grid Movement	 Hand Management	 Modular Board	 Role Playing	 Tile Placement	 Variable Player Powers",27567,"Adventure	 Exploration	 Fantasy	 Fighting",Vlaada Chv�til,4.21
18641,2,4,90,2015,8.15,"Action Point Allowance System	 Area Control / Area Influence	 Area Movement	 Card Drafting	 Hand Management	 Memory	 Simultaneous Action Selection",18624,"Fantasy	 Fighting	 Miniatures	 Mythology",Eric M. Lang,2.89
18642,2,4,240,2006,8.08,"Action Point Allowance System	 Auction/Bidding	 Card Drafting	 Hand Management",15894,"City Building	 Civilization	 Economic",Vlaada Chv�til,4.17
18643,2,5,120,2014,8.2,"Dice Rolling	 Grid Movement	 Modular Board	 Partnerships	 Role Playing	 Variable Player Powers",19937,"Adventure	 Fighting	 Miniatures	 Movies / TV / Radio theme	 Science Fiction	 Wargame","Justin Kemppainen	 Corey Konieczka	 Jonathan Ying",3.27
18644,2,4,150,2016,8.29,"Deck / Pool Building	 Hand Management	 Point to Point Movement	 Tile Placement",7659,American West,Alexander Pfister,3.72
18645,1,5,180,2016,8.31,"Area Movement	 Co-operative Play	 Dice Rolling	 Hand Management	 Modular Board	 Partnerships	 Pick-up and Deliver	 Role Playing	 Variable Player Powers",11677,"Adventure	 Exploration	 Fantasy	 Fighting	 Horror	 Miniatures	 Murder/Mystery	 Puzzle",Nikki Valens,2.63
18646,2,6,120,2004,7.94,"Auction/Bidding	 Route/Network Building",48610,"Economic	 Industry / Manufacturing",Friedemann Friese,3.29
18647,2,4,90,2016,8.38,"Action / Movement Programming	 Card Drafting	 Co-operative Play	 Dice Rolling	 Modular Board	 Variable Player Powers",9160,"Fantasy	 Fighting	 Miniatures	 Video Game Theme","Chris Cantrell	 Rick Ernst	 Stone Librande	 Prashant Saraswat	 Nathan Tiras",2.43
18648,2,6,200,2011,8.01,"Area Control / Area Influence	 Dice Rolling	 Grid Movement	 Modular Board	 Player Elimination	 Tile Placement	 Variable Phase Order	 Variable Player Powers",22515,"Civilization	 Fighting	 Science Fiction	 Space Exploration	 Wargame",Touko Tahkokallio,3.68
18649,1,4,120,2016,8.4,"Action Point Allowance System	 Co-operative Play	 Deck / Pool Building	 Hand Management	 Role Playing	 Variable Player Powers",11810,"Adventure	 Card Game	 Collectible Components	 Fantasy	 Horror	 Novel-based","Nate French	 Matthew Newman",3.06
18650,1,4,180,2012,8.01,"Action / Movement Programming	 Co-operative Play	 Dice Rolling	 Modular Board	 Simultaneous Action Selection	 Storytelling	 Tile Placement	 Variable Player Powers	 Worker Placement",27359,"Adventure	 Exploration	 Fighting	 Novel-based",Ignacy Trzewiczek,3.7
18651,2,5,240,2015,8.29,"Modular Board	 Route/Network Building	 Simultaneous Action Selection",6799,"Economic	 Industry / Manufacturing","Jeroen Doumen	 Joris Wiersinga",4.18
18652,2,2,45,2012,8,"Action Point Allowance System	 Hand Management	 Secret Unit Deployment	 Variable Player Powers",32292,"Bluffing	 Card Game	 Collectible Components	 Science Fiction","Richard Garfield	 Lukas Litzsinger",3.35
18653,2,4,180,2007,8.01,"Hand Management	 Route/Network Building",11352,"Economic	 Industry / Manufacturing	 Transportation",Martin Wallace,3.88
18654,2,4,90,2014,8.08,"Deck / Pool Building	 Point to Point Movement",10679,"Medieval	 Religious	 Travel",Reiner Stockhausen,3.1
18655,1,5,150,2008,7.93,Worker Placement,20107,"City Building	 Economic	 Industry / Manufacturing	 Nautical",Uwe Rosenberg,3.76
18656,2,4,90,2012,7.94,"Set Collection	 Worker Placement",20464,"Ancient	 Civilization	 Economic	 Farming	 Mythology","Simone Luciani	 Daniele Tascini",3.61
18657,2,8,15,2015,7.89,"Memory	 Partnerships	 Pattern Recognition	 Press Your Luck",48818,"Card Game	 Deduction	 Party Game	 Spies/Secret Agents	 Word Game",Vlaada Chv�til,1.37
18658,2,4,90,2015,8.03,"Co-operative Play	 Dice Rolling	 Role Playing	 Storytelling	 Time Track	 Variable Player Powers	 Voting",17268,"Adventure	 Mature / Adult	 Medieval	 Science Fiction","Peggy Chassenet	 Manuel Rozoy",2.66
18659,1,6,90,2015,8.19,"Hand Management	 Variable Phase Order	 Worker Placement",8669,"Economic	 Farming","Morten Monrad Pedersen	 Jamey Stegmaier	 Alan Stone",2.97
18660,2,5,100,2013,7.98,"Card Drafting	 Deck / Pool Building	 Hand Management	 Point to Point Movement",10901,"Ancient	 Economic	 Nautical",Mac Gerdts,3.13
18661,2,6,120,2012,7.94,"Auction/Bidding	 Memory	 Modular Board	 Pick-up and Deliver	 Route/Network Building	 Set Collection	 Tile Placement	 Worker Placement",14535,"City Building	 Economic	 Nautical	 Renaissance	 Territory Building","Sebastian Bleasdale	 Richard Breese",3.34
18662,2,7,30,2010,7.83,"Card Drafting	 Hand Management	 Set Collection	 Simultaneous Action Selection	 Variable Player Powers",67639,"Ancient	 Card Game	 City Building	 Civilization",Antoine Bauza,2.34
18663,2,4,100,2015,7.98,"Card Drafting	 Dice Rolling	 Point to Point Movement	 Set Collection	 Variable Player Powers	 Worker Placement",10450,"Dice	 Economic	 Medieval	 Travel","Simone Luciani	 Daniele Tascini",3.18
