GameId,Title,Intro,IsOutOfStock,StockNumber,PictureURL,Price
1,LittleBigPlanet PS Vita,intro for 1,1,720,URL for 1,37.34
2,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,intro for 2,0,8881,URL for 2,54.94
3,Splice: Tree of Life,intro for 3,1,4914,URL for 3,52.01
4,NHL 13,intro for 4,1,7410,URL for 4,7.29
5,NHL 13,intro for 5,1,8687,URL for 5,23.6
6,Total War Battles: Shogun,intro for 6,0,1159,URL for 6,12.78
7,Double Dragon: Neon,intro for 7,0,5936,URL for 7,120
8,Guild Wars 2,intro for 8,1,95,URL for 8,2.22
9,Double Dragon: Neon,intro for 9,0,4202,URL for 9,286.12
10,Total War Battles: Shogun,intro for 10,0,5296,URL for 10,10.26
11,Tekken Tag Tournament 2,intro for 11,0,2190,URL for 11,47.21
12,Tekken Tag Tournament 2,intro for 12,0,9639,URL for 12,138.28
13,Wild Blood,intro for 13,1,7294,URL for 13,146.1
14,Mark of the Ninja,intro for 14,0,3076,URL for 14,142.16
15,Mark of the Ninja,intro for 15,1,7723,URL for 15,7.98
16,Home: A Unique Horror Adventure,intro for 16,1,9746,URL for 16,26.69
17,Home: A Unique Horror Adventure,intro for 17,1,8066,URL for 17,81.4
18,Avengers Initiative,intro for 18,0,8719,URL for 18,40.08
19,Way of the Samurai 4,intro for 19,0,530,URL for 19,73.84
20,JoJo's Bizarre Adventure HD,intro for 20,1,9153,URL for 20,76.57
21,JoJo's Bizarre Adventure HD,intro for 21,1,9486,URL for 21,21.28
22,Mass Effect 3: Leviathan,intro for 22,0,6450,URL for 22,54.34
23,Mass Effect 3: Leviathan,intro for 23,1,8627,URL for 23,136.16
24,Mass Effect 3: Leviathan,intro for 24,1,341,URL for 24,25.28
25,Dark Souls (Prepare to Die Edition),intro for 25,1,4710,URL for 25,107.26
26,Symphony,intro for 26,1,5899,URL for 26,19.2
27,Bastion,intro for 27,1,4777,URL for 27,9.54
28,Tom Clancy's Ghost Recon Phantoms,intro for 28,0,8887,URL for 28,40.09
29,Thirty Flights of Loving,intro for 29,0,4258,URL for 29,2.24
30,Legasista,intro for 30,1,9450,URL for 30,144.95
31,The Walking Dead: The Game -- Episode 3: Long Road Ahead,intro for 31,1,152,URL for 31,29.38
32,World of Warcraft: Mists of Pandaria,intro for 32,0,6203,URL for 32,101.92
33,Hell Yeah! Wrath of the Dead Rabbit,intro for 33,0,1148,URL for 33,29.9
34,Pokemon White Version 2,intro for 34,0,8248,URL for 34,17.8
35,War of the Roses,intro for 35,0,8595,URL for 35,76.24
36,Pokemon Black Version 2,intro for 36,1,2743,URL for 36,138.31
37,Drakerider,intro for 37,0,4120,URL for 37,40.02
38,The Walking Dead: The Game -- Episode 3: Long Road Ahead,intro for 38,0,9857,URL for 38,141.7
39,The Walking Dead: The Game -- Episode 3: Long Road Ahead,intro for 39,0,5457,URL for 39,27.06
40,The Walking Dead: The Game -- Episode 3: Long Road Ahead,intro for 40,1,2375,URL for 40,39.47
41,Rock Band Blitz,intro for 41,0,3362,URL for 41,29.35
42,Counter-Strike: Global Offensive,intro for 42,0,3393,URL for 42,13.91
43,Worms Revolution,intro for 43,0,1682,URL for 43,8.94
44,Worms Revolution,intro for 44,0,80,URL for 44,35.77
45,Worms Revolution,intro for 45,0,6213,URL for 45,11.36
46,Bad Piggies,intro for 46,0,4418,URL for 46,31.23
47,Resident Evil 6,intro for 47,0,4838,URL for 47,19.88
48,Resident Evil 6,intro for 48,0,9046,URL for 48,113.61
49,Shad'O,intro for 49,0,6701,URL for 49,103.27
50,Demon's Score,intro for 50,0,7001,URL for 50,10.66
51,NBA 2K13,intro for 51,0,8586,URL for 51,7.28
52,Counter-Strike: Global Offensive,intro for 52,0,9245,URL for 52,9.52
53,The World Ends with You: Solo Remix,intro for 53,0,4631,URL for 53,76.94
54,Counter-Strike: Global Offensive,intro for 54,0,2652,URL for 54,136.1
55,The World Ends with You: Solo Remix,intro for 55,0,3178,URL for 55,102.38
56,Counter-Strike: Global Offensive,intro for 56,0,2194,URL for 56,48.75
57,Madden NFL 13,intro for 57,0,5846,URL for 57,126.26
58,Madden NFL 13,intro for 58,0,4080,URL for 58,26.22
59,Madden NFL 13,intro for 59,1,1014,URL for 59,66.43
60,Hoodwink,intro for 60,1,8968,URL for 60,145.18
61,NBA 2K13,intro for 61,1,6673,URL for 61,21.54
62,NBA 2K13,intro for 62,1,3102,URL for 62,231.15
63,Lili: Child of Geos,intro for 63,1,8030,URL for 63,206.65
64,Marvel vs. Capcom Origins,intro for 64,0,8449,URL for 64,17.06
65,Marvel vs. Capcom Origins,intro for 65,0,2899,URL for 65,208.59
66,Dead or Alive 5,intro for 66,0,7312,URL for 66,86.19
67,Dead or Alive 5,intro for 67,0,6492,URL for 67,137.85
68,Medal of Honor Warfighter,intro for 68,0,6536,URL for 68,241.76
69,Professor Layton and the Miracle Mask,intro for 69,0,1705,URL for 69,1.73
70,Hotline Miami,intro for 70,1,4339,URL for 70,39.42
71,Edna & Harvey: Harvey's New Eyes,intro for 71,1,2429,URL for 71,15.9
72,Medal of Honor Warfighter,intro for 72,0,2603,URL for 72,13.53
73,Medal of Honor Warfighter,intro for 73,1,4202,URL for 73,92.12
74,Transformers: Fall of Cybertron,intro for 74,1,1793,URL for 74,44.93
75,Transformers: Fall of Cybertron,intro for 75,1,8070,URL for 75,68.86
76,Hero Academy,intro for 76,1,8120,URL for 76,175.88
77,Hero Academy,intro for 77,0,6685,URL for 77,85.45
78,Puzzle Craft,intro for 78,0,4621,URL for 78,207.49
79,Realms Of Ancient War,intro for 79,0,5693,URL for 79,20.67
80,Realms Of Ancient War,intro for 80,1,5269,URL for 80,54.5
81,Anomaly: Warzone Earth,intro for 81,0,6524,URL for 81,99.95
82,Darksiders II,intro for 82,0,785,URL for 82,30.48
83,Left 4 Dead 2: Cold Stream,intro for 83,0,2475,URL for 83,45.78
84,Left 4 Dead 2: Cold Stream,intro for 84,0,7099,URL for 84,55.48
85,Puzzle Craft,intro for 85,0,9525,URL for 85,0.43
86,Left 4 Dead 2: Cold Stream,intro for 86,0,5312,URL for 86,67.24
87,Horn,intro for 87,1,1890,URL for 87,2.6
88,Forza Horizon,intro for 88,1,7452,URL for 88,16.1
89,FIFA Soccer 13,intro for 89,0,7379,URL for 89,13.41
90,Mugen Souls,intro for 90,1,646,URL for 90,96.91
91,Crazy Taxi,intro for 91,0,6621,URL for 91,208.17
92,New Little King's Story,intro for 92,0,2088,URL for 92,123.51
93,Fable: The Journey,intro for 93,0,2300,URL for 93,131.38
94,The Lord of the Rings Online: Riders of Rohan,intro for 94,0,2325,URL for 94,17.14
95,Doom 3: BFG Edition,intro for 95,0,1683,URL for 95,8.72
96,Rugby League Live 2,intro for 96,0,3635,URL for 96,83.16
97,Rugby League Live 2,intro for 97,1,2136,URL for 97,95.26
98,Doom 3: BFG Edition,intro for 98,0,587,URL for 98,189.8
99,Punch Quest,intro for 99,0,1569,URL for 99,12.3
100,He-Man: The Most Powerful Game in the Universe,intro for 100,1,6501,URL for 100,121.21
101,Doom 3: BFG Edition,intro for 101,1,7100,URL for 101,3.59
102,Dokuro,intro for 102,0,7712,URL for 102,2.38
103,Naughty Bear: Panic in Paradise,intro for 103,1,2458,URL for 103,72.47
104,Naughty Bear: Panic in Paradise,intro for 104,1,6811,URL for 104,208.01
105,Borderlands 2: Captain Scarlett and her Pirate's Booty,intro for 105,1,2034,URL for 105,2
106,Skylanders Giants,intro for 106,0,9746,URL for 106,84.04
107,Borderlands 2: Captain Scarlett and her Pirate's Booty,intro for 107,1,4030,URL for 107,15.45
108,Rayman: Jungle Run,intro for 108,1,5379,URL for 108,231.8
109,FIFA Soccer 13,intro for 109,0,6972,URL for 109,96.39
110,FIFA Soccer 13,intro for 110,0,3525,URL for 110,244.61
111,Torchlight II,intro for 111,0,4122,URL for 111,124.35
112,FIFA Soccer 13,intro for 112,0,3646,URL for 112,7.77
113,The Sims 3: Supernatural,intro for 113,1,8306,URL for 113,213.9
114,Retro/Grade,intro for 114,1,8773,URL for 114,11.19
115,Iron Brigade,intro for 115,0,2580,URL for 115,19.04
116,Cafeteria Nipponica,intro for 116,1,2475,URL for 116,23.93
117,Sleeping Dogs,intro for 117,0,6892,URL for 117,3.05
118,Sleeping Dogs,intro for 118,0,493,URL for 118,27.42
119,Darksiders II,intro for 119,0,2431,URL for 119,70.54
120,Papo & Yo,intro for 120,0,3459,URL for 120,5.82
121,The Walking Dead: The Game -- Episode 4: Around Every Corner,intro for 121,1,5619,URL for 121,8.61
122,The Walking Dead: The Game -- Episode 4: Around Every Corner,intro for 122,0,7519,URL for 122,162.49
123,The Walking Dead: The Game -- Episode 4: Around Every Corner,intro for 123,1,6055,URL for 123,8.68
124,Cortex Command,intro for 124,1,7168,URL for 124,65.98
125,The Walking Dead: The Game -- Episode 4: Around Every Corner,intro for 125,1,8650,URL for 125,281.88
126,Derrick the Deathfin,intro for 126,0,6236,URL for 126,54.75
127,The Walking Dead: The Game -- Episode 4: Around Every Corner,intro for 127,0,6580,URL for 127,146.28
128,XCOM: Enemy Unknown,intro for 128,0,2042,URL for 128,119.45
129,XCOM: Enemy Unknown,intro for 129,0,3350,URL for 129,138.46
130,Silent Hill: Book of Memories,intro for 130,1,9258,URL for 130,89.02
131,Diaspora: Shattered Armistice,intro for 131,0,211,URL for 131,100.79
132,Pocket Clothier,intro for 132,0,1961,URL for 132,15.46
133,Pocket Clothier,intro for 133,0,3073,URL for 133,108.25
134,Ravaged,intro for 134,0,9991,URL for 134,3.83
135,True Skate,intro for 135,1,6531,URL for 135,117.26
136,Zero Escape: Virtue's Last Reward,intro for 136,0,7565,URL for 136,31.83
137,Zero Escape: Virtue's Last Reward,intro for 137,1,8930,URL for 137,66.73
138,The Walking Dead: The Game -- Episode 3: Long Road Ahead,intro for 138,0,9912,URL for 138,58.39
139,Skylanders Giants,intro for 139,1,5962,URL for 139,2.54
140,Skylanders Giants,intro for 140,0,9700,URL for 140,30.71
141,Borderlands 2: Captain Scarlett and her Pirate's Booty,intro for 141,0,6905,URL for 141,54.9
142,Devil's Attorney,intro for 142,0,8430,URL for 142,16.12
143,Devil's Attorney,intro for 143,1,4861,URL for 143,96.83
144,Code of Princess,intro for 144,0,7889,URL for 144,240.87
145,SunFlowers,intro for 145,1,4583,URL for 145,3.64
146,007 Legends,intro for 146,0,2860,URL for 146,18.67
147,Super Hexagon,intro for 147,1,1622,URL for 147,143.84
148,Machinarium,intro for 148,1,4956,URL for 148,5.39
149,Final Fantasy Dimensions,intro for 149,1,5521,URL for 149,61.91
150,They Bleed Pixels,intro for 150,0,7648,URL for 150,24.8
151,Jet Set Radio,intro for 151,1,9665,URL for 151,9.08
152,Jet Set Radio,intro for 152,1,8764,URL for 152,215.04
153,Jet Set Radio,intro for 153,0,7278,URL for 153,8.3
154,Pro Evolution Soccer 2013,intro for 154,0,886,URL for 154,48.19
155,F1 2012,intro for 155,0,247,URL for 155,36.79
156,Darksiders II,intro for 156,1,9268,URL for 156,89.22
157,Pitfall,intro for 157,1,1966,URL for 157,48.44
158,Dust: An Elysian Tail,intro for 158,1,6984,URL for 158,263.51
159,Hybrid,intro for 159,0,5796,URL for 159,72.73
160,The Dark Knight Rises,intro for 160,1,1158,URL for 160,23.32
161,The Political Machine 2012,intro for 161,1,9618,URL for 161,125.89
162,Sound Shapes,intro for 162,1,8132,URL for 162,69.04
163,Sound Shapes,intro for 163,0,131,URL for 163,154.3
164,One Piece: Pirate Warriors,intro for 164,0,1748,URL for 164,2.98
165,XCOM: Enemy Unknown,intro for 165,0,4657,URL for 165,199.69
166,Dishonored,intro for 166,0,3609,URL for 166,125.34
167,Dishonored,intro for 167,1,7011,URL for 167,82.93
168,Dishonored,intro for 168,1,1996,URL for 168,47.25
169,Angry Birds Trilogy,intro for 169,0,9585,URL for 169,139.36
170,Angry Birds Trilogy,intro for 170,1,8282,URL for 170,97.26
171,Angry Birds Trilogy,intro for 171,1,3683,URL for 171,44.37
172,Girls Like Robots,intro for 172,0,5374,URL for 172,65.45
173,Happy Wars,intro for 173,0,1363,URL for 173,126.96
174,007 Legends,intro for 174,1,8387,URL for 174,190.84
175,Funky Smugglers,intro for 175,1,5886,URL for 175,20.05
176,Colour Bind,intro for 176,1,3829,URL for 176,13.93
177,WRC 3 FIA World Rally Championship,intro for 177,1,2011,URL for 177,107.61
178,WRC 3 FIA World Rally Championship,intro for 178,0,167,URL for 178,29.29
179,Retro City Rampage,intro for 179,1,1749,URL for 179,77.6
180,Retro City Rampage,intro for 180,1,945,URL for 180,90.23
181,Dance Central 3,intro for 181,0,7176,URL for 181,23.48
182,WRC 3 FIA World Rally Championship,intro for 182,1,4100,URL for 182,23.48
183,Snapshot,intro for 183,1,7986,URL for 183,24.26
184,F1 2012,intro for 184,1,1398,URL for 184,80.23
185,Pro Evolution Soccer 2013,intro for 185,0,9784,URL for 185,137.85
186,F1 2012,intro for 186,1,4841,URL for 186,146.69
187,Pro Evolution Soccer 2013,intro for 187,0,8332,URL for 187,51.28
188,Borderlands 2,intro for 188,0,2083,URL for 188,68.16
189,Borderlands 2,intro for 189,0,9622,URL for 189,30.08
190,Joe Danger: The Movie,intro for 190,1,3641,URL for 190,0.33
191,Borderlands 2,intro for 191,1,9422,URL for 191,103.74
192,Sound Shapes,intro for 192,0,1999,URL for 192,63.59
193,Persona 4 Arena,intro for 193,1,2046,URL for 193,13.61
194,Persona 4 Arena,intro for 194,1,3096,URL for 194,166.59
195,Hell Yeah! Wrath of the Dead Rabbit,intro for 195,0,3841,URL for 195,212.39
196,Hell Yeah! Wrath of the Dead Rabbit,intro for 196,0,4184,URL for 196,82.73
197,Retro City Rampage,intro for 197,0,7648,URL for 197,61.69
198,The Unfinished Swan,intro for 198,0,2025,URL for 198,135.2
199,Tokyo Jungle,intro for 199,0,7034,URL for 199,208.97
200,Halo 4,intro for 200,0,6426,URL for 200,228.54
201,Halo 4 (Limited Edition),intro for 201,0,7800,URL for 201,129.15
202,Zone of the Enders HD Collection,intro for 202,1,2377,URL for 202,5.5
203,Harvest Moon: A New Beginning,intro for 203,1,9240,URL for 203,228.42
204,Zone of the Enders HD Collection,intro for 204,1,7621,URL for 204,17.31
205,Borderlands Legends,intro for 205,0,9456,URL for 205,148.37
206,Borderlands Legends,intro for 206,1,8130,URL for 206,29.06
207,Okami HD,intro for 207,0,8010,URL for 207,125.17
