GameId,Action,Strategy,Sports,Simulations,Racing,Role-playing,Adventure,Fighting,Shooter,Casual,Music/Party
1,0,0,0,0,0,0,1,0,1,1,0
2,0,1,0,0,0,0,0,1,1,0,1
3,1,0,1,0,1,1,0,0,1,1,0
4,0,1,1,1,0,0,0,0,0,0,1
5,1,0,0,0,0,1,0,1,0,1,1
6,1,0,0,0,0,1,1,0,1,0,0
7,0,1,1,1,1,1,1,0,0,0,1
8,1,0,0,0,0,1,0,1,1,1,1
9,0,1,1,0,1,0,0,0,0,1,1
10,0,0,1,1,1,0,0,0,1,1,0
11,0,1,0,1,1,0,0,0,1,1,1
12,1,1,1,0,1,0,0,0,1,1,0
13,1,1,1,1,0,1,1,0,0,0,0
14,0,0,1,1,0,0,0,0,0,0,0
15,0,0,1,0,0,1,1,0,1,1,1
16,1,0,0,1,0,0,1,0,1,0,1
17,0,1,1,1,0,1,1,0,1,0,1
18,1,1,1,1,0,0,0,0,1,0,0
19,1,0,0,1,0,1,1,0,0,0,0
20,0,0,1,0,1,1,1,1,1,1,1
21,1,0,0,0,1,1,0,1,0,0,0
22,1,0,0,1,1,1,0,0,1,0,0
23,1,0,1,1,1,0,1,1,1,1,0
24,0,0,0,0,0,0,0,0,1,1,1
25,1,0,1,1,0,1,1,0,0,1,0
26,1,1,0,1,0,1,1,0,1,0,0
27,1,0,0,1,0,0,0,0,1,1,1
28,1,1,1,1,0,1,1,0,0,0,0
29,1,1,0,1,1,1,0,1,0,1,0
30,0,0,0,1,1,1,0,0,1,0,1
31,0,0,0,0,1,0,0,0,1,1,0
32,0,0,1,0,1,1,1,0,0,0,1
33,0,0,0,1,1,0,0,1,0,1,1
34,1,1,1,1,1,0,0,1,0,0,0
35,0,1,1,0,1,1,1,0,0,1,1
36,1,0,0,0,1,0,0,1,0,0,1
37,0,0,1,1,1,0,1,1,1,0,1
38,0,1,1,1,1,1,0,0,0,0,0
39,1,1,1,0,1,0,1,1,0,0,1
40,1,1,1,1,1,0,0,0,0,1,1
41,0,0,1,1,1,0,0,1,0,0,0
42,0,1,0,0,0,1,0,1,1,0,1
43,0,1,0,0,0,0,1,1,1,0,0
44,0,1,0,1,1,0,1,1,0,0,1
45,0,0,1,1,1,0,1,0,1,0,1
