GameId,English,Chinese,Spanish,French,Italian,German
1,1,0,0,1,0,1
2,1,0,0,1,1,0
3,1,1,1,0,1,0
4,1,1,0,1,0,0
5,1,1,0,1,1,0
6,0,0,1,0,1,1
7,1,1,0,1,0,1
8,1,1,0,0,0,1
9,0,1,0,1,1,0
10,0,0,0,1,0,1
11,0,1,0,0,0,0
12,1,0,0,0,1,1
13,0,1,0,1,0,0
14,0,1,1,0,1,1
15,1,0,0,0,1,1
16,0,0,1,1,0,1
17,1,0,1,1,1,1
18,1,0,1,1,1,1
19,1,1,0,0,0,0
20,1,0,1,1,1,0
21,0,1,1,0,0,1
22,1,0,1,1,0,0
23,0,1,1,1,1,0
24,1,1,1,0,0,0
25,1,0,0,0,1,0
26,1,1,0,1,0,1
27,0,0,0,1,0,1
28,1,0,0,0,1,0
29,1,0,0,0,1,1
30,1,0,1,1,1,1
31,1,0,1,0,1,1
32,1,1,1,1,0,0
33,0,1,1,1,0,1
34,0,1,1,0,0,0
35,1,1,1,0,0,0
36,1,1,1,0,1,0
37,0,1,0,1,1,1
38,0,0,1,1,1,1
39,1,0,1,0,1,1
40,0,1,1,1,1,1
41,1,1,0,1,0,1
42,1,0,0,1,1,0
43,0,1,1,0,1,0
44,1,0,0,1,1,0
45,0,1,0,1,1,1
46,0,0,1,1,0,1
47,0,1,1,1,1,0
48,1,1,0,0,1,1
49,1,1,0,0,0,1
50,0,0,0,1,0,0
51,1,0,1,0,1,0
52,0,1,1,1,0,0
53,1,1,0,1,1,0
54,1,0,0,1,0,0
55,1,0,1,0,1,0
56,0,1,1,1,0,0
57,1,1,1,0,0,0
58,1,1,0,1,1,1
59,1,0,1,0,1,1
60,1,1,1,0,1,0
61,0,1,1,0,1,0
62,0,0,1,1,0,1
63,1,0,0,1,1,0
64,0,0,1,0,1,0
65,1,1,1,0,0,0
66,1,0,0,0,0,1
67,0,1,1,0,1,0
68,0,0,0,1,1,1
69,1,0,0,1,0,0
70,0,1,1,0,0,0
71,1,1,1,1,0,0
